date,open,high,low,close
09/29/2010,87.6,88.86,86.91,87.8
09/28/2010,88.37,88.63,86.07,87.7
09/27/2010,88.24,89.03,87.26,87.51
09/24/2010,86.23,89.18,86.18,87.72
09/23/2010,85.79,87.86,85.22,85.4
09/22/2010,86.4,87.44,85.1,86.51
09/21/2010,87.87,87.91,86.0,86.46
09/20/2010,85.68,87.65,85.07,87.43
09/17/2010,85.26,85.49,83.9,84.81
09/16/2010,85.69,85.96,84.32,84.76
09/15/2010,86.03,86.54,85.36,85.75
09/14/2010,83.3,87.16,83.11,86.44
09/13/2010,84.47,85.72,83.75,84.2
09/10/2010,84.96,85.77,83.81,84.9
09/09/2010,84.98,85.99,84.16,84.54
09/08/2010,83.24,84.75,82.97,84.23
09/07/2010,83.76,84.6,82.76,82.93
09/03/2010,83.27,84.94,82.8,84.43
09/02/2010,81.53,83.6,81.06,82.75
09/01/2010,80.13,81.71,80.13,81.58
08/31/2010,78.5,79.37,77.31,78.42
08/30/2010,78.86,81.09,78.25,78.36
08/27/2010,78.69,79.49,76.85,79.27
08/26/2010,78.4,79.99,77.76,78.15
08/25/2010,78.24,78.77,76.1,77.72
08/24/2010,79.42,80.7,78.41,79.17
08/23/2010,82.19,83.63,80.82,81.35
08/20/2010,78.45,81.95,78.06,81.79
08/19/2010,78.05,79.28,77.67,78.06
08/18/2010,78.39,79.0,77.25,77.97
08/17/2010,78.11,79.3,77.61,78.07
08/16/2010,76.89,77.5,76.32,77.16
08/13/2010,74.34,77.11,74.34,76.38
08/12/2010,72.69,75.82,71.6,74.07
08/11/2010,79.17,79.19,75.2,76.93
08/10/2010,80.55,80.63,78.9,80.12
08/09/2010,80.97,81.41,80.33,81.16
08/06/2010,80.0,81.44,79.0,80.43
08/05/2010,80.82,81.67,80.4,80.88
08/04/2010,79.74,82.18,79.56,81.91
08/03/2010,79.75,79.84,78.51,79.25
08/02/2010,78.52,79.53,77.87,79.29
07/30/2010,75.67,78.09,74.64,77.53
07/29/2010,77.46,77.83,75.46,76.66
07/28/2010,78.3,78.99,76.23,76.54
07/27/2010,78.08,79.94,77.4,78.49
07/26/2010,78.5,79.0,77.61,77.87
07/23/2010,75.54,78.61,75.06,78.55
07/22/2010,73.92,76.1,73.44,75.66
07/21/2010,74.76,75.0,72.05,73.16
07/20/2010,71.68,72.58,69.87,72.42
07/19/2010,72.3,73.91,71.65,73.35
07/16/2010,74.03,74.09,71.87,72.11
07/15/2010,74.42,74.56,72.73,74.45
07/14/2010,72.02,74.86,71.95,74.09
07/13/2010,71.5,71.93,70.73,71.38
07/12/2010,70.01,71.43,69.8,70.74
07/09/2010,69.86,70.7,69.47,69.99
07/08/2010,70.05,70.95,68.32,69.97
07/07/2010,65.49,70.0,65.49,69.69
07/06/2010,64.54,66.29,64.01,64.81
07/02/2010,63.79,64.21,62.53,63.28
07/01/2010,62.76,63.88,61.17,63.68
06/30/2010,64.15,64.64,62.27,62.59
06/29/2010,65.96,66.38,64.02,64.6
06/28/2010,67.57,68.48,66.63,67.47
06/25/2010,66.65,68.31,66.11,68.03
06/24/2010,69.35,69.55,67.35,67.6
06/23/2010,69.35,70.24,67.89,69.56
06/22/2010,70.4,71.1,68.79,69.0
06/21/2010,72.95,73.1,70.34,70.87
06/18/2010,72.39,73.0,71.62,71.93
06/17/2010,71.47,73.0,71.13,72.52
06/16/2010,71.61,72.0,70.53,71.35
06/15/2010,71.0,72.42,70.58,71.68
06/14/2010,70.61,71.0,69.33,69.9
06/11/2010,67.93,69.9,67.53,69.8
06/10/2010,67.97,68.95,67.01,68.91
06/09/2010,67.44,69.16,66.17,66.56
06/08/2010,67.95,68.39,65.43,66.82
06/07/2010,68.45,70.29,67.2,67.55
06/04/2010,69.16,71.38,67.71,68.29
06/03/2010,66.86,71.14,66.51,70.71
